User Review,User Name,Review Date,DateOfReview,FinalText,FinalTextSentiment,UserReviewSentiment
...Very nice item super quality product,Flipkart Customer,1month ago,2020-07-02,Very nice item super quality product,pos,pos
...Very nice Good qualityWValue for money,Flipkart Customer,1month ago,2020-07-02,Very nice Good qualityWValue money,pos,pos
...Super good fantastic awesome best quality,Flipkart Customer,4months ago,2020-04-02,Super good fantastic awesome best quality,pos,pos
...Awesome product in acceptable price working excellent,Flipkart Customer,5months ago,2020-03-02,Awesome product acceptable price work excellent,pos,pos
...very bad poor quality,Surapu Navya,5months ago,2020-03-02,bad poor quality,neg,neg
"...Delicate mixer jars, very poor plastic top cover while mixer is running plastic",phani,5months ago,2020-03-02,Delicate mixer jar poor plastic top cover mixer run plastic,neg,neg
...good productive workinggood choice,Flipkart Customer,6months ago,2020-02-02,good productive workinggood choice,pos,pos
...Good product with best quality at this price range,Adimulam Vamsi,6months ago,2020-02-02,Good product best quality price range,pos,pos
...Good quality product in best price. Thanks to flirt.,Flipkart Mathew Anthony,7months ago,2020-01-02,Good quality product best price Thanks flirt,pos,pos
...good features and good quality very nice product  buds,Phani Yandra,7months ago,2020-01-02,good feature good quality nice product bud,pos,pos
...Very nice item super quality product,Flipkart Customer,1month ago,2020-07-02,Very nice item super quality product,pos,pos
...Very nice Good qualityWValue for money,Flipkart Customer,1month ago,2020-07-02,Very nice Good qualityWValue money,pos,pos
...Super good fantastic awesome best quality,Flipkart Customer,4months ago,2020-04-02,Super good fantastic awesome best quality,pos,pos
...Awesome product in acceptable price working excellent,Flipkart Customer,5months ago,2020-03-02,Awesome product acceptable price work excellent,pos,pos
...very bad poor quality,Surapu Navya,5months ago,2020-03-02,bad poor quality,neg,neg
"...Delicate mixer jars, very poor plastic top cover while mixer is running plastic",phani,5months ago,2020-03-02,Delicate mixer jar poor plastic top cover mixer run plastic,neg,neg
...good productive workinggood choice,Flipkart Customer,6months ago,2020-02-02,good productive workinggood choice,pos,pos
...Good product with best quality at this price range,Adimulam Vamsi,6months ago,2020-02-02,Good product best quality price range,pos,pos
...Good quality product in best price. Thanks to flirt.,Flipkart Mathew Anthony,7months ago,2020-01-02,Good quality product best price Thanks flirt,pos,pos
...good features and good quality very nice product  buds,Phani Yandra,7months ago,2020-01-02,good feature good quality nice product bud,pos,pos
